Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
RSRC2	FLJ11021	ENSG00000111011	"Arginine and serine rich coiled-coil 2"	Q7L4I2	12	122503454-122527000	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 64.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA040070, HPA048183"	Enhanced		Approved	"Nucleoli fibrillar center,Nuclear speckles,Cytosol"			No	No			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 38: Non-specific - Transcription"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	5	"Nuclear speckles"	"Nucleoli fibrillar center, Cytosol"	"HPA040070: AB_10673430, HPA048183: AB_2680302"	"unprognostic (4.76e-2)"	"unprognostic (1.41e-1)"	"unprognostic (1.32e-2)"	"unprognostic (1.44e-1)"	"unprognostic (6.42e-3)"	"unprognostic (6.90e-2)"	"prognostic unfavorable (2.05e-4)"	"unprognostic (1.12e-1)"	"unprognostic (1.01e-2)"	"unprognostic (2.74e-2)"	"unprognostic (3.26e-1)"	"unprognostic (3.19e-2)"	"unprognostic (1.06e-2)"	"unprognostic (2.23e-2)"	"unprognostic (8.87e-2)"	"unprognostic (4.84e-2)"	"unprognostic (1.53e-2)"
RTN3	"ASYIP, HAP, NSPL2, NSPLII, RTN3-A1"	ENSG00000133318	"Reticulon 3"	O95197	11	63681446-63759891	"Predicted intracellular proteins, Predicted membrane proteins"	"Apoptosis, ER-Golgi transport, Host-virus interaction, Stress response, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 648.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"neutrophil: 1079.4"	"Group enriched"	"Detected in all"	6	"granulocytes: 1079.4;monocytes: 400.6"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Fibroblasts, Testis - Spermatocytes, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA015649, HPA015650"	Enhanced		Supported	"Endoplasmic reticulum"			NA	NA		130000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 33: Brain - Neuronal signaling"	"Cluster 14: Neurons - Synaptic function"	"Cluster 24: Non-specific - Unknown function"	"Cluster 69: Neurons - Neuronal signaling"	7	"Endoplasmic reticulum"		"HPA015649: AB_1856498, HPA015650: AB_1856499"	"unprognostic (8.11e-3)"	"unprognostic (8.51e-2)"	"unprognostic (3.61e-2)"	"unprognostic (7.88e-3)"	"unprognostic (1.41e-1)"	"unprognostic (1.74e-2)"	"prognostic unfavorable (1.30e-6)"	"unprognostic (5.49e-2)"	"unprognostic (1.25e-1)"	"unprognostic (1.07e-2)"	"unprognostic (2.70e-2)"	"unprognostic (1.07e-1)"	"prognostic favorable (9.87e-4)"	"unprognostic (1.60e-2)"	"unprognostic (2.54e-1)"	"unprognostic (2.73e-2)"	"unprognostic (1.57e-2)"
RUSC1	NESCA	ENSG00000160753	"RUN and SH3 domain containing 1"	Q9BVN2	1	155320894-155331114	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA028510, HPA029922, HPA029923"	Approved		Enhanced	Cytosol			NA	Yes			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 80: Non-specific - Endocytosis"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 5: Enterocytes - Absorption"	71	Cytosol		"HPA028510: AB_10599847, HPA029922: AB_10611390, HPA029923: AB_10602288"	"unprognostic (1.98e-1)"	"unprognostic (2.82e-1)"	"unprognostic (2.36e-1)"	"unprognostic (1.50e-1)"	"unprognostic (5.25e-2)"	"unprognostic (2.52e-1)"	"prognostic unfavorable (7.78e-6)"	"unprognostic (1.42e-1)"	"unprognostic (1.38e-1)"	"unprognostic (1.73e-1)"	"unprognostic (8.29e-2)"	"prognostic unfavorable (2.65e-4)"	"prognostic unfavorable (9.24e-6)"	"unprognostic (7.59e-2)"	"unprognostic (4.25e-2)"	"unprognostic (2.05e-2)"	"unprognostic (1.40e-1)"
S100A10	"42C, ANX2LG, CAL1L, CLP11, P11"	ENSG00000197747	"S100 calcium binding protein A10"	P60903	1	151982915-151993859	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"esophagus: 1711.1"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 4228.3;Distal enterocytes: 5741.5;Paneth cells: 4483.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Group enriched"	"Detected in all"	4	"dendritic cells: 2009.9;monocytes: 1239.0;T-cells: 1183.5"	"Low cancer specificity"	"Detected in all"			"Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003340, CAB025484"	Enhanced		Approved	Mitochondria			Yes	No		270000	"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 75: Epithelium - Extracellular exosomes"	"Cluster 12: Non-specific - Vasculature"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 45: Non-specific - Mixed function"	9	Mitochondria		"CAB025484: , HPA003340: AB_1856531"	"unprognostic (2.13e-1)"	"unprognostic (1.51e-3)"	"unprognostic (1.01e-1)"	"unprognostic (3.15e-1)"	"unprognostic (6.20e-2)"	"prognostic unfavorable (3.33e-4)"	"prognostic unfavorable (1.00e-4)"	"prognostic unfavorable (2.66e-5)"	"unprognostic (1.09e-2)"	"unprognostic (9.48e-2)"	"prognostic unfavorable (3.88e-4)"	"unprognostic (1.36e-1)"	"prognostic unfavorable (3.80e-8)"	"unprognostic (1.09e-1)"	"unprognostic (1.50e-1)"	"unprognostic (1.33e-1)"	"prognostic unfavorable (3.84e-4)"
SAMM50	"CGI-51, OMP85, SAM50, TOB55, TRG-3, YNL026W"	ENSG00000100347	"SAMM50 sorting and assembly machinery component"	Q9Y512	22	43955442-44010531	"Predicted intracellular proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 232.0"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA034537	Enhanced		Supported	Mitochondria			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 45: Non-specific - Mixed function"	"Cluster 9: Skin cancer - Melanin biosynthesis"	"Cluster 1: Erythroid cells - Oxygen transport"	4	Mitochondria		"HPA034537: AB_10602794"	"unprognostic (2.92e-1)"	"unprognostic (1.01e-1)"	"unprognostic (1.95e-3)"	"prognostic favorable (2.63e-7)"	"unprognostic (2.43e-3)"	"unprognostic (2.28e-1)"	"unprognostic (5.28e-3)"	"unprognostic (1.70e-3)"	"unprognostic (3.37e-2)"	"unprognostic (1.95e-1)"	"unprognostic (2.42e-1)"	"unprognostic (3.52e-1)"	"prognostic favorable (4.43e-8)"	"unprognostic (1.08e-1)"	"unprognostic (1.51e-1)"	"unprognostic (2.41e-1)"	"unprognostic (1.60e-1)"
SBNO1	"FLJ10701, FLJ10833, MOP3, Sno"	ENSG00000139697	"Strawberry notch homolog 1"	A3KN83	12	123289109-123364847	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"testis: 36.5"	"Cell type enhanced"	"Detected in all"		"Spermatocytes: 249.9;Spermatogonia: 242.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA042388	Approved		Approved	Nucleoplasm			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 4: Testis - Basic cellular processes"	"Cluster 34: Non-specific - Mixed function"	"Cluster 38: Non-specific - Transcription"	"Cluster 31: Spermatocytes - Spermatogenesis"		Nucleoplasm		"HPA042388: AB_10795704"	"unprognostic (1.61e-2)"	"unprognostic (9.61e-2)"	"unprognostic (5.12e-2)"	"unprognostic (2.54e-3)"	"unprognostic (3.50e-1)"	"unprognostic (3.59e-2)"	"unprognostic (1.21e-2)"	"unprognostic (1.48e-1)"	"unprognostic (5.33e-2)"	"unprognostic (2.22e-1)"	"unprognostic (2.22e-1)"	"unprognostic (1.22e-1)"	"unprognostic (6.61e-3)"	"unprognostic (2.06e-1)"	"unprognostic (3.74e-1)"	"unprognostic (2.44e-1)"	"unprognostic (1.49e-2)"
SCAF4	"DKFZp434E098, KIAA1172, SFRS15, SRA4"	ENSG00000156304	"SR-related CTD associated factor 4"	O95104	21	31671000-31732118	"Plasma proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation"	RNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other), Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA018319, HPA018668, HPA021504, HPA028807"	Enhanced		Enhanced	Nucleoplasm			NA	NA			"Cluster 14: Non-specific - Unknown function"	"Cluster 4: Testis - Basic cellular processes"	"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 49: Non-specific - Transcription"		Nucleoplasm		"HPA018319: AB_1856784, HPA018668: AB_1856783, HPA021504: AB_1856785, HPA028807: AB_10602927"	"unprognostic (9.18e-2)"	"unprognostic (1.17e-1)"	"unprognostic (9.29e-2)"	"unprognostic (1.79e-1)"	"unprognostic (1.88e-1)"	"unprognostic (1.85e-2)"	"unprognostic (3.99e-3)"	"unprognostic (4.31e-1)"	"unprognostic (2.19e-1)"	"unprognostic (2.66e-2)"	"unprognostic (3.28e-1)"	"unprognostic (6.11e-2)"	"unprognostic (1.85e-3)"	"unprognostic (2.87e-1)"	"unprognostic (7.65e-3)"	"unprognostic (1.10e-1)"	"unprognostic (2.16e-3)"
SCAMP2		ENSG00000140497	"Secretory carrier membrane protein 2"	O15127	15	74843730-74873365	"Predicted membrane proteins, Transporters"	"Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Colon - Macrophages, Heart muscle - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA014699, HPA019194"	Approved		Supported	"Golgi apparatus,Vesicles"			NA	NA		71000	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 75: Epithelium - Extracellular exosomes"	"Cluster 8: Immune cells - Immune response"	"Cluster 58: Non-specific - Nuclear processes"	"Cluster 58: Macrophages - Innate immune response"	2	"Golgi apparatus, Vesicles"		"HPA014699: AB_1856605, HPA019194: AB_1856604"	"unprognostic (1.74e-1)"	"unprognostic (1.27e-2)"	"unprognostic (2.05e-1)"	"unprognostic (5.23e-3)"	"unprognostic (2.89e-1)"	"unprognostic (1.38e-1)"	"unprognostic (1.53e-2)"	"unprognostic (7.23e-2)"	"unprognostic (9.73e-3)"	"unprognostic (7.26e-2)"	"unprognostic (8.44e-2)"	"unprognostic (1.97e-1)"	"prognostic favorable (1.12e-6)"	"unprognostic (3.40e-1)"	"unprognostic (1.79e-2)"	"unprognostic (1.19e-2)"	"unprognostic (3.10e-2)"
SCLT1	"FLJ30655, hCAP-1A"	ENSG00000151466	"Sodium channel and clathrin linker 1"	Q96NL6	4	128864921-129093600	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 104.3;Excitatory neurons: 107.3;Inhibitory neurons: 111.1;Oligodendrocyte precursor cells: 102.4"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"neutrophil: 66.3"	"Group enriched"	"Detected in all"	5	"granulocytes: 66.3;monocytes: 31.3"	"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036560, HPA036561"	Approved		Uncertain	Microtubules,Cytosol			NA	Yes			"Cluster 7: Non-specific - Innate immune response"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 25: Non-specific - Transcription"	"Cluster 22: Non-specific - mRNA splicing & Cell cycle"	"Cluster 65: Neurons - Synaptic function"		"Microtubules, Cytosol"		"HPA036560: AB_2675190, HPA036561: AB_10673658"	"unprognostic (2.15e-1)"	"unprognostic (2.01e-1)"	"unprognostic (1.62e-2)"	"unprognostic (3.77e-2)"	"unprognostic (5.05e-2)"	"unprognostic (9.18e-2)"	"unprognostic (1.33e-3)"	"unprognostic (1.64e-2)"	"unprognostic (1.94e-2)"	"unprognostic (4.99e-2)"	"unprognostic (3.86e-1)"	"unprognostic (3.09e-2)"	"unprognostic (5.34e-4)"	"unprognostic (6.54e-2)"	"unprognostic (2.70e-1)"	"unprognostic (6.05e-2)"	"unprognostic (8.92e-2)"
SCYL2	"CVAK104, KIAA1360"	ENSG00000136021	"SCY1 like pseudokinase 2"	Q6P3W7	12	100267140-100341715	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"			"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA021050	Approved						NA	NA			"Cluster 45: Eosinophils - Unknown function"	"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 31: Non-specific - Transcription"	"Cluster 38: Non-specific - Transcription"	"Cluster 55: Non-specific - Transcription"	2			"HPA021050: AB_1846175"	"unprognostic (7.01e-3)"	"unprognostic (3.04e-2)"	"unprognostic (4.34e-3)"	"unprognostic (4.01e-2)"	"unprognostic (3.87e-2)"	"unprognostic (1.07e-1)"	"unprognostic (1.27e-2)"	"unprognostic (8.19e-2)"	"unprognostic (5.32e-2)"	"unprognostic (1.31e-1)"	"unprognostic (1.34e-2)"	"unprognostic (1.93e-2)"	"unprognostic (4.44e-1)"	"unprognostic (2.72e-1)"	"unprognostic (3.46e-1)"	"unprognostic (1.60e-1)"	"unprognostic (2.18e-1)"
SDF4	Cab45	ENSG00000078808	"Stromal cell derived factor 4"		1	1216931-1232031	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 299.5;Proximal enterocytes: 345.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Fibroblasts, Skeletal muscle - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA011249, HPA011895, CAB015227"	Supported	Supported	Supported	"Golgi apparatus"	"Intracellular and membrane"		NA	NA			"Cluster 45: Eosinophils - Unknown function"	"Cluster 43: Non-specific - Mitochondrial translation"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 37: Non-specific - mRNA processing"	"Cluster 77: Plasma cells - Protein processing"		"Golgi apparatus"		"CAB015227: , HPA011249: AB_2668468, HPA011895: "	"unprognostic (1.98e-1)"	"prognostic unfavorable (5.89e-4)"	"unprognostic (3.63e-1)"	"unprognostic (2.38e-3)"	"unprognostic (5.88e-2)"	"unprognostic (7.95e-3)"	"unprognostic (3.73e-3)"	"unprognostic (1.06e-1)"	"unprognostic (2.01e-1)"	"unprognostic (8.70e-2)"	"unprognostic (1.46e-2)"	"unprognostic (1.07e-1)"	"unprognostic (8.39e-3)"	"unprognostic (1.09e-1)"	"unprognostic (2.32e-1)"	"unprognostic (1.42e-1)"	"unprognostic (3.04e-2)"
SDHAF2	"C11orf79, FLJ20487, PGL2, SDH5"	ENSG00000167985	"Succinate dehydrogenase complex assembly factor 2"	Q9NX18	11	61430042-61446733	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"		Chaperone	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039464, HPA039732"	Supported		Approved	Nucleoli,Mitochondria,Cytosol			NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 35: Non-specific - Mitochondria"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 24: Non-specific - Unknown function"	"Cluster 39: Non-specific - Basic cellular processes"	3	"Mitochondria, Cytosol"	Nucleoli	"HPA039464: AB_10962146, HPA039732: AB_10962868"	"unprognostic (5.31e-2)"	"unprognostic (1.12e-2)"	"unprognostic (3.13e-1)"	"unprognostic (1.30e-2)"	"unprognostic (1.40e-1)"	"unprognostic (6.71e-2)"	"unprognostic (1.98e-3)"	"unprognostic (9.06e-2)"	"unprognostic (2.17e-1)"	"unprognostic (2.09e-3)"	"unprognostic (4.21e-3)"	"unprognostic (1.50e-1)"	"unprognostic (1.81e-2)"	"unprognostic (3.61e-1)"	"unprognostic (1.78e-1)"	"unprognostic (1.45e-1)"	"unprognostic (4.48e-2)"
SEC24B		ENSG00000138802	"SEC24 homolog B, COPII coat complex component"	O95487	4	109433772-109540896	"Predicted intracellular proteins"	"ER-Golgi transport, Protein transport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Microglial cells: 84.1;Oligodendrocytes: 85.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA038181	Approved		Approved	Nucleoplasm,Vesicles			NA	NA		14000	"Cluster 35: Neutrophils - Protein binding"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 16: Non-specific - Transcription"	"Cluster 22: Non-specific - mRNA splicing & Cell cycle"	"Cluster 55: Non-specific - Transcription"		"Nucleoplasm, Vesicles"		"HPA038181: AB_10672472"	"unprognostic (1.19e-1)"	"unprognostic (4.31e-3)"	"unprognostic (8.58e-3)"	"unprognostic (9.95e-2)"	"unprognostic (1.22e-1)"	"unprognostic (1.46e-1)"	"unprognostic (6.67e-2)"	"unprognostic (3.18e-2)"	"unprognostic (1.06e-1)"	"unprognostic (1.85e-3)"	"unprognostic (2.51e-3)"	"unprognostic (7.47e-2)"	"prognostic favorable (2.33e-6)"	"unprognostic (2.67e-1)"	"unprognostic (2.40e-1)"	"unprognostic (6.02e-2)"	"unprognostic (1.73e-1)"
SEPHS1	"SPS, SPS1"	ENSG00000086475	"Selenophosphate synthetase 1"	P49903	10	13317428-13348298	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"dendritic cells: 97.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA037645, HPA062118"	Enhanced		Uncertain	Nucleoplasm			NA	NA		21000	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 44: Non-specific - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 28: Dendritic cells - Antigen presentation"	8	Nucleoplasm		"HPA037645: AB_10671631, HPA062118: AB_2732676"	"unprognostic (8.18e-3)"	"unprognostic (1.79e-1)"	"unprognostic (1.06e-3)"	"unprognostic (2.07e-1)"	"unprognostic (3.50e-2)"	"unprognostic (2.99e-2)"	"prognostic unfavorable (2.16e-7)"	"unprognostic (2.66e-2)"	"unprognostic (1.43e-1)"	"unprognostic (2.61e-2)"	"prognostic favorable (3.12e-4)"	"unprognostic (1.09e-1)"	"unprognostic (1.38e-2)"	"unprognostic (1.10e-1)"	"unprognostic (1.85e-1)"	"unprognostic (1.66e-1)"	"unprognostic (5.11e-2)"
SERAC1	FLJ14917	ENSG00000122335	"Serine active site containing 1"	Q96JX3	6	158109519-158168280	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"		"Deafness, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 87.1;Late spermatids: 123.9;Oligodendrocytes: 44.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA025715, HPA025716"	Enhanced						NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 3: Non-specific - Unknown function"	"Cluster 27: Non-specific - Mixed function"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 11: Late spermatids - Unknown function"				"HPA025715: AB_1856697, HPA025716: AB_2185128"	"unprognostic (1.14e-3)"	"unprognostic (1.01e-1)"	"unprognostic (1.16e-2)"	"unprognostic (2.17e-1)"	"unprognostic (6.92e-2)"	"unprognostic (2.04e-2)"	"unprognostic (1.20e-3)"	"unprognostic (2.50e-2)"	"unprognostic (1.75e-1)"	"unprognostic (1.61e-2)"	"unprognostic (4.46e-1)"	"unprognostic (5.98e-2)"	"unprognostic (6.11e-3)"	"unprognostic (4.21e-2)"	"unprognostic (7.56e-2)"	"unprognostic (1.34e-2)"	"unprognostic (4.03e-2)"
