riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs6087990-G	6E-6	(EA)	0.4056	1.0586283	-	[1.03-1.08]	DNMT3B,COMMD7	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	20:32762102	26192919	"Liu JZ"
rs3740415-A	3E-7	(EA)	0.53	1.0690618	-	-	MFSD13A,ACTR1A	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	10:102472959	26192919	"Liu JZ"
rs616597-C	9E-6	(EA)	0.77	1.0701488	-	-	NFKBIZ	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	3:101850882	26192919	"Liu JZ"
rs11150589-A	3E-10	(EA)	0.4732	1.0831269	-	[1.06-1.11]	Y_RNA	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	16:30471173	26192919	"Liu JZ"
rs254560-A	4E-10	(EA)	0.4024	1.0823938	-	[1.06-1.11]	PITX1-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	5:135107916	26192919	"Liu JZ"
rs11641184-A	4E-10	(EA)	0.4762	1.0811478	-	[1.06-1.11]	LITAF	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	16:11610795	26192919	"Liu JZ"
rs7657746-A	5E-10	(EA)	0.76	1.0973365	-	-	BLTP1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	4:122240464	26192919	"Liu JZ"
rs3742130-G	6E-7	(EA)	0.78	1.0792593	-	-	UBAC2,GPR18	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	13:99255087	26192919	"Liu JZ"
rs113010081-G	9E-10	(EA)	0.1073	1.1354866	-	[1.09-1.18]	LINC02009,CCRL2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	3:46415921	26192919	"Liu JZ"
rs6088765-C	1E-6	(EA)	0.4467	1.0630414	-	[1.04-1.09]	PROCR,MMP24OS	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	20:35211477	26192919	"Liu JZ"
rs1517352-C	2E-9	(EA)	0.6	1.0808891	-	-	STAT4	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	2:191066738	26192919	"Liu JZ"
rs5763767-A	1E-6	(EA)	0.4538	1.0639322	-	[1.04-1.09]	HORMAD2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	22:30097893	26192919	"Liu JZ"
rs8005161-A	3E-9	(EA)	0.08653	1.1371082	-	[1.09-1.18]	GPR65	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	14:88006251	26192919	"Liu JZ"
rs2651244-G	2E-6	(EA)	0.61	1.063159	-	-	CHORDC1P5,CTH	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:70529879	26192919	"Liu JZ"
rs4743820-A	4E-9	(EA)	0.7	1.0842872	-	-	LINC00484,LINC02937	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	9:91166134	26192919	"Liu JZ"
rs1077773-A	6E-9	(EA)	0.52	1.0747931	-	-	LINC02888	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	7:17403055	26192919	"Liu JZ"
rs4703855-G	2E-6	(EA)	0.7	1.0675422	-	-	YBX1P5,PTCD2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	5:72398072	26192919	"Liu JZ"
rs6062504-G	1E-8	(EA)	0.69	1.0814869	-	-	ZGPAT	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	20:63717555	26192919	"Liu JZ"
rs11229555-C	1E-8	(EA)	0.75	1.0858196	-	-	GLYAT	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	11:58641214	26192919	"Liu JZ"
rs913678-A	1E-8	(EA)	0.67	1.0787014	-	-	LINC01271,RN7SL636P	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	20:50338887	26192919	"Liu JZ"
rs12718244-A	1E-8	(EA)	0.4081	1.0744148	-	[1.05-1.1]	SPATA48	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	7:50136058	26192919	"Liu JZ"
rs12149608-?	2E-8	(EA)	NR	-	-	-	ZFP90	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	16:68552601	26192919	"Liu JZ"
rs7404095-G	2E-8	(EA)	0.58	1.0744067	-	-	PRKCB	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	16:23853269	26192919	"Liu JZ"
rs2382817-A	2E-8	(EA)	0.3988	1.0740336	-	[1.05-1.1]	PNKD,TMBIM1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	2:218286495	26192919	"Liu JZ"
rs4722672-G	5E-6	(EA)	0.1881	1.0755208	-	[1.04-1.11]	HOXA13,HOXA11-AS	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	7:27192143	26192919	"Liu JZ"
rs2538470-A	3E-7	(EA)	0.3622	1.0682071	-	[1.04-1.09]	RN7SL72P,RPL32P17	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	7:148523356	26192919	"Liu JZ"
rs38911-G	6E-6	(EA)	0.54	1.0574577	-	-	MTND4P6,ST7	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	7:117255109	26192919	"Liu JZ"
rs9297145-C	4E-7	(EA)	0.2581	1.073924	-	[1.05-1.1]	SMURF1,KPNA7	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	7:99161494	26192919	"Liu JZ"
rs2457996-A	4E-7	(EA)	0.89	1.1094414	-	-	PPBP,CXCL5	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	4:73990818	26192919	"Liu JZ"
rs1595825-?	4E-7	(EA)	NR	-	-	-	PLCL1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	2:198010740	26192919	"Liu JZ"
rs1440088-A	6E-7	(EA)	0.81	1.0840102	-	-	PLCL1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	2:198006693	26192919	"Liu JZ"
rs6863411-T	6E-7	(EA)	0.63	1.0674366	-	-	NDFIP1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	5:142133639	26192919	"Liu JZ"
rs1405108-C	6E-10	(EA)	0.3358	1.0854406	-	[1.06-1.11]	PLCL1,RNU7-147P	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	2:198880294	26192919	"Liu JZ"
rs11168249-G	7E-7	(EA)	0.4676	1.0644168	-	[1.04-1.09]	HDAC7	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	12:47814585	26192919	"Liu JZ"
rs12103-A	1E-9	(EA)	0.1834	1.1046834	-	[1.07-1.14]	INTS11	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:1312114	26192919	"Liu JZ"
rs727088-G	1E-6	(EA)	0.4822	1.0637558	-	[1.04-1.09]	CD226	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	18:69863203	26192919	"Liu JZ"
rs4976646-G	3E-9	(EA)	0.3415	1.0819606	-	[1.06-1.11]	RGS14	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	5:177361569	26192919	"Liu JZ"
rs26528-G	1E-6	(EA)	0.4576	1.06364	-	[1.04-1.09]	IL27	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	16:28506388	26192919	"Liu JZ"
rs4656958-G	3E-9	(EA)	0.68	1.0859073	-	-	ITLN2,ITLN1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:160887174	26192919	"Liu JZ"
rs11739663-A	2E-6	(EA)	0.77	1.0785052	-	-	CEP72-DT,MIR4456	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	5:593968	26192919	"Liu JZ"
rs12778642-A	2E-6	(EA)	0.4347	1.0610541	-	[1.04-1.09]	Y_RNA,HHEX	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	10:92704550	26192919	"Liu JZ"
rs907611-A	1E-8	(EA)	0.3211	1.0787733	-	[1.05-1.1]	LSP1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	11:1852842	26192919	"Liu JZ"
rs564349-G	2E-6	(EA)	0.3183	1.0646768	-	[1.04-1.09]	ERGIC1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	5:172897975	26192919	"Liu JZ"
rs12422544-G	3E-6	(EA)	0.01915	1.2153448	-	[1.13-1.3]	SLC2A13,LINC02555	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	12:40134630	26192919	"Liu JZ"
rs314313-G	4E-6	(EA)	0.3043	1.0641211	-	[1.04-1.09]	EPHB4	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	7:100825743	26192919	"Liu JZ"
rs1363907-A	4E-6	(EA)	0.4212	1.0618593	-	[1.04-1.09]	ERAP2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	5:96917099	26192919	"Liu JZ"
rs259964-A	4E-6	(EA)	0.4586	1.0585915	-	[1.03-1.08]	ZNF831	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	20:59249254	26192919	"Liu JZ"
rs6908425-G	4E-6	(EA)	0.78	1.0734457	-	-	CDKAL1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	6:20728500	26192919	"Liu JZ"
rs1728785-C	5E-6	(EA)	0.78	1.0728852	-	-	ZFP90	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	16:68557327	26192919	"Liu JZ"
rs11230563-G	2E-8	(EA)	0.65	1.077956	-	-	CD6	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	11:61008737	26192919	"Liu JZ"
rs11010067-G	2E-8	(EA)	0.3513	1.075212	-	[1.05-1.1]	CUL2,LINC02635	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	10:35006503	26192919	"Liu JZ"
rs7556897-A	3E-8	(EA)	0.66	1.0756639	-	-	SNRPGP8,CCL20	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	2:227795396	26192919	"Liu JZ"
rs11083840-C	3E-8	(EA)	0.4025	1.0715772	-	[1.05-1.1]	PTGIR,CALM3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	19:46616653	26192919	"Liu JZ"
rs17736589-G	4E-8	(EA)	0.2075	1.0858142	-	[1.06-1.12]	CYTH1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	17:78741036	26192919	"Liu JZ"
rs17771967-G	5E-8	(EA)	0.424	1.073007	-	[1.05-1.1]	RNU6-222P,KIR3DL2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	19:54868759	26192919	"Liu JZ"
rs11054935-G	6E-8	(EA)	0.2756	1.0779562	-	[1.05-1.11]	DUSP16	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	12:12495909	26192919	"Liu JZ"
rs11583043-A	6E-8	(EA)	0.2658	1.0797532	-	[1.05-1.11]	DPH5	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:101000498	26192919	"Liu JZ"
rs559928-G	6E-8	(EA)	0.81	1.0923722	-	-	LINC02723,RPS6KA4	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	11:64382898	26192919	"Liu JZ"
rs7011507-G	6E-8	(EA)	0.88	1.1094613	-	-	IDI1P2,UBE2V2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	8:48216682	26192919	"Liu JZ"
rs11741861-G	7E-8	(EA)	0.07656	1.128044	-	[1.08-1.17]	IRGM,ZNF300	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	5:150898347	26192919	"Liu JZ"
rs2777491-?	8E-8	(EA)	NR	-	-	-	RTF1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	15:41443512	26192919	"Liu JZ"
rs13407913-G	9E-8	(EA)	0.4306	1.0690905	-	[1.04-1.09]	ADCY3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	2:24874775	26192919	"Liu JZ"
rs28374715-A	9E-8	(EA)	0.74	1.0816516	-	-	CHP1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	15:41271752	26192919	"Liu JZ"
rs2488389-A	9E-8	(EA)	0.2092	1.0841732	-	[1.05-1.11]	DENND1B	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:197662011	26192919	"Liu JZ"
rs2930047-G	1E-7	(EA)	0.372	1.0703659	-	[1.05-1.1]	DAP	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	5:10695414	26192919	"Liu JZ"
rs17293632-A	1E-7	(EA)	0.2364	1.0799718	-	[1.05-1.11]	SMAD3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	15:67150258	26192919	"Liu JZ"
rs3116494-G	1E-7	(EA)	0.2539	1.080307	-	[1.05-1.11]	CD28	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	2:203727298	26192919	"Liu JZ"
rs11064881-A	2E-7	(EA)	0.07342	1.1273501	-	[1.08-1.17]	CIT	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	12:119709120	26192919	"Liu JZ"
rs7746082-C	2E-7	(EA)	0.2869	1.0753639	-	[1.05-1.1]	RN7SKP211,PRDM1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	6:105987394	26192919	"Liu JZ"
rs80174646-C	4E-62	(EA)	0.93	1.614317	-	-	IL23R	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:67242472	26192919	"Liu JZ"
rs76901167-?	2E-94	(EA)	NR	-	-	-	HLA-DQA1,HLA-DRB1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	6:32608701	26192919	"Liu JZ"
rs113653754-C	1E-86	(EA)	0.73	1.3593605	-	-	HLA-DQB1,HLA-DQA1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	6:32658495	26192919	"Liu JZ"
rs9271209-?	2E-85	(EA)	NR	-	-	-	HLA-DRB1,HLA-DQA1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	6:32611258	26192919	"Liu JZ"
rs6426833-A	3E-76	(EA)	0.54	1.2616084	-	-	RNF186-AS1,OTUD3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:19845367	26192919	"Liu JZ"
rs6426833-?	1E-55	(EA)	NR	-	-	-	RNF186-AS1,OTUD3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:19845367	26192919	"Liu JZ"
rs2836878-G	7E-53	(EA)	0.73	1.25304	-	-	LINC02940,RPL23AP12	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	21:39093608	26192919	"Liu JZ"
rs3024505-A	5E-43	(EA)	0.1573	1.2520686	-	[1.22-1.28]	Y_RNA,IL10	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:206766559	26192919	"Liu JZ"
rs1801274-A	1E-41	(EA)	0.5	1.1863672	-	-	FCGR2A	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:161509955	26192919	"Liu JZ"
rs3806308-G	6E-39	(EA)	0.62	1.1850245	-	-	RNF186-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:19816373	26192919	"Liu JZ"
rs3197999-A	2E-37	(EA)	0.2812	1.1865767	-	[1.16-1.21]	MST1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	3:49684099	26192919	"Liu JZ"
rs7134472-A	6E-37	(EA)	0.3855	1.1745031	-	[1.15-1.2]	IFNG-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	12:68106206	26192919	"Liu JZ"
rs4409764-A	2E-36	(EA)	0.4821	1.1710649	-	[1.15-1.2]	LINC01475,GOT1-DT	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	10:99524480	26192919	"Liu JZ"
rs7554511-C	7E-31	(EA)	0.72	1.1808171	-	-	INAVA	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:200908434	26192919	"Liu JZ"
rs75900472-C	1E-28	(EA)	0.3496	1.1539809	-	[1.13-1.18]	HNRNPA1P41,JAK2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	9:4981601	26192919	"Liu JZ"
rs56167332-A	7E-27	(EA)	0.3375	1.1518488	-	[1.13-1.18]	IL12B,LINC01845	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	5:159400761	26192919	"Liu JZ"
rs10781499-A	4E-26	(EA)	0.4263	1.142511	-	[1.12-1.17]	CARD9	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	9:136371953	26192919	"Liu JZ"
rs12946510-A	1E-25	(EA)	0.4675	1.141072	-	[1.12-1.17]	IKZF3,GRB7	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	17:39756124	26192919	"Liu JZ"
rs6466198-?	2E-25	(EA)	NR	-	-	-	PIGCP2,DLD	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	7:107839681	26192919	"Liu JZ"
rs10800309-?	4E-25	(EA)	NR	-	-	-	RNU6-481P,FCGR2A	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:161502368	26192919	"Liu JZ"
rs4380874-A	6E-25	(EA)	0.4093	1.1398237	-	[1.11-1.16]	PIGCP2,DLD	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	7:107839870	26192919	"Liu JZ"
rs7608910-G	1E-23	(EA)	0.3909	1.1355296	-	[1.11-1.16]	PUS10	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	2:60977721	26192919	"Liu JZ"
rs6920220-A	5E-22	(EA)	0.2086	1.1582799	-	[1.13-1.19]	LINC03004	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	6:137685367	26192919	"Liu JZ"
rs2155219-A	8E-21	(EA)	0.4994	1.1254078	-	[1.1-1.15]	LINC02757,EMSY	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	11:76588150	26192919	"Liu JZ"
rs10761659-G	2E-20	(EA)	0.54	1.1244732	-	-	LINC02929,ALDH7A1P4	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	10:62685804	26192919	"Liu JZ"
rs661054-?	3E-20	(EA)	NR	-	-	-	NXPE1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	11:114559688	26192919	"Liu JZ"
rs561722-G	4E-20	(EA)	0.66	1.1328671	-	-	NXPE1,NXPE2P1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	11:114516108	26192919	"Liu JZ"
rs6466198-?	1E-18	(EA)	NR	-	-	-	PIGCP2,DLD	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	7:107839681	26192919	"Liu JZ"
rs2816958-G	1E-18	(EA)	0.89	1.1982042	-	-	NR5A2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:200132792	26192919	"Liu JZ"
rs4845604-G	1E-18	(EA)	0.85	1.1778549	-	-	RORC	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003045	1:151829204	26192919	"Liu JZ"
rs2359952-A	4E-7	-	0.6	1.31	-	[1.13-1.51]	PTPRC	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002453	1:198687278	24837172	"Juyal G"
rs549182-A	8E-10	-	0.11	1.59	-	[1.37-1.85]	TSBP1-AS1,NOTCH4	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002453	6:32237268	24837172	"Juyal G"
rs4151657-G	5E-14	-	0.29	1.54	-	[1.38-1.73]	CFB	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002453	6:31949763	24837172	"Juyal G"
rs3749946-A	2E-15	-	0.07	1.97	-	[1.66-2.33]	MICB-DT	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002453	6:31481085	24837172	"Juyal G"
rs1063355-A	2E-6	-	NR	1.43	-	[1.23-1.66]	HLA-DQB1,HLA-DQB1-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002453	6:32659937	24837172	"Juyal G"
rs1049526-?	2E-8	-	NR	2.3810558	-	[1.74-3.26]	BRD2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003960	6:32981027	28008999	"Ostrowski J"
rs501916-?	5E-7	-	NR	1.512222	-	[1.29-1.78]	SEMA6D	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003960	15:47761032	28008999	"Ostrowski J"
rs2395128-?	2E-7	-	NR	1.5446734	-	[1.31-1.82]	DUSP29	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003960	10:75052692	28008999	"Ostrowski J"
rs56404409-?	6E-6	-	NR	1.5007368	-	[1.26-1.79]	GRAMD1B	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003960	11:123459759	28008999	"Ostrowski J"
rs501916-?	4E-10	(Children)	NR	1.8129687	-	[1.51-2.18]	SEMA6D	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003960	15:47761032	28008999	"Ostrowski J"
rs1049526-?	3E-7	(Adults)	NR	2.697503	-	[1.87-3.90]	BRD2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003960	6:32981027	28008999	"Ostrowski J"
rs2239802-?	2E-7	(Adults)	NR	1.7715251	-	[1.43-2.19]	HLA-DRA	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003960	6:32444069	28008999	"Ostrowski J"
rs2187668-?	4E-6	(Adults)	NR	2.21266	-	[1.54-3.12]	HLA-DQA1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003960	6:32638107	28008999	"Ostrowski J"
rs979961-?	8E-7	(Adults)	NR	1.8414419	-	[1.45-2.34]	RNU6-119P,TRAM1L1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST003960	4:116929300	28008999	"Ostrowski J"
rs1811711-C	6E-9	-	0.826	1.14	-	[1.10–1.18]	CCL20	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	2:227805760	28067908	"de Lange KM"
rs17656349-T	2E-8	-	0.466	1.09	-	[1.06–1.13]	CAMK2A	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	5:150226431	28067908	"de Lange KM"
rs113986290-C	8E-9	-	0.989	1.36	-	[1.25–1.46]	LNC-LBCS	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	6:19780778	28067908	"de Lange KM"
rs7911117-T	2E-8	-	0.871	1.14	-	[1.10–1.19]	FAM238C,ABI1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	10:26890667	28067908	"de Lange KM"
rs138788-A	3E-8	-	0.418	1.09	-	[1.06–1.13]	TOM1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	22:35333728	28067908	"de Lange KM"
rs6927022-?	5E-65	-	NR	-	-	-	HLA-DQA1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	6:32644620	28067908	"de Lange KM"
rs11168249-?	3E-7	-	NR	-	-	-	HDAC7	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	12:47814585	28067908	"de Lange KM"
rs28374715-?	3E-7	-	NR	-	-	-	CHP1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	15:41271752	28067908	"de Lange KM"
rs941823-?	4E-7	-	NR	-	-	-	LINC00598	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	13:40439840	28067908	"de Lange KM"
rs17119-?	7E-7	-	NR	-	-	-	RNU6-793P,RPL6P17	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	6:14719265	28067908	"de Lange KM"
rs9297145-?	7E-7	-	NR	-	-	-	SMURF1,KPNA7	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	7:99161494	28067908	"de Lange KM"
rs483905-?	7E-7	-	NR	-	-	-	MAML2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	11:96290263	28067908	"de Lange KM"
rs2651244-?	1E-6	-	NR	-	-	-	CHORDC1P5,CTH	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	1:70529879	28067908	"de Lange KM"
rs11150589-?	1E-6	-	NR	-	-	-	Y_RNA	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	16:30471173	28067908	"de Lange KM"
rs111456533-?	1E-6	-	NR	-	-	-	EEF1AKMT2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	10:124750812	28067908	"de Lange KM"
rs6740847-?	1E-6	-	NR	-	-	-	ITGA4,LINC01934	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	2:181443625	28067908	"de Lange KM"
rs113010081-?	2E-6	-	NR	-	-	-	LINC02009,CCRL2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	3:46415921	28067908	"de Lange KM"
rs2188962-?	2E-6	-	NR	-	-	-	IRF1-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	5:132435113	28067908	"de Lange KM"
rs11768365-?	2E-6	-	NR	-	-	-	GRID2IP	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	7:6505557	28067908	"de Lange KM"
rs1991866-?	2E-6	-	NR	-	-	-	CCDC26	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	8:129611859	28067908	"de Lange KM"
rs7495132-?	3E-6	-	NR	-	-	-	CRTC3-AS1,CRTC3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	15:90629669	28067908	"de Lange KM"
rs12103-?	3E-6	-	NR	-	-	-	INTS11	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	1:1312114	28067908	"de Lange KM"
rs395157-?	4E-6	-	NR	-	-	-	OSMR	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	5:38867630	28067908	"de Lange KM"
rs1042058-?	5E-6	-	NR	-	-	-	MAP3K8	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	10:30439172	28067908	"de Lange KM"
rs11221332-?	6E-6	-	NR	-	-	-	ETS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	11:128511079	28067908	"de Lange KM"
rs1077773-?	6E-6	-	NR	-	-	-	LINC02888	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	7:17403055	28067908	"de Lange KM"
rs38904-?	6E-6	-	NR	-	-	-	ST7,MTND4P6	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	7:117252792	28067908	"de Lange KM"
rs2858829-?	9E-6	-	NR	-	-	-	CBX3P9,DSE	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	6:116447754	28067908	"de Lange KM"
rs11229555-?	9E-6	-	NR	-	-	-	GLYAT	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	11:58641214	28067908	"de Lange KM"
rs2266959-?	9E-6	-	NR	-	-	-	UBE2L3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	22:21568615	28067908	"de Lange KM"
rs6426833-?	3E-42	-	NR	-	-	-	RNF186-AS1,OTUD3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	1:19845367	28067908	"de Lange KM"
rs11581607-?	4E-41	-	NR	-	-	-	IL23R	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	1:67242007	28067908	"de Lange KM"
rs2836878-?	2E-32	-	NR	-	-	-	LINC02940,RPL23AP12	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	21:39093608	28067908	"de Lange KM"
rs6017342-?	4E-30	-	NR	-	-	-	LINC01620	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	20:44436388	28067908	"de Lange KM"
rs11614178-?	1E-29	-	NR	-	-	-	IFNG-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	12:68114342	28067908	"de Lange KM"
rs56167332-?	1E-23	-	NR	-	-	-	IL12B,LINC01845	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	5:159400761	28067908	"de Lange KM"
rs3024505-?	2E-23	-	NR	-	-	-	Y_RNA,IL10	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	1:206766559	28067908	"de Lange KM"
